scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4c_out_of_domain,F,param_err_pct,observed,1,40,40,40,0,76.80325479577971,47.28589558714918,310.4904601639891,59.35146134368201,298.61371400671896
S4c_out_of_domain,F,param_err_pct,observed,2,40,40,40,0,180.70380984018917,117.19313529698167,198.5578628017701,137.73684223088992,190.27340104540187
S4c_out_of_domain,F,param_err_pct,observed,3,40,40,40,0,153.0656154469375,139.031210471607,166.63643618480327,147.67789708810338,162.2250732835431
S4c_out_of_domain,F,param_err_pct,observed,4,40,40,40,0,117.95023934471365,110.58599433704433,125.81879211440211,112.71501746952617,123.02220520102635
S4c_out_of_domain,F,param_err_pct,observed,5,40,40,40,0,114.50681566537992,109.71804543260887,120.68426347361361,112.33502217510387,117.81099792385818
S4c_out_of_domain,F,param_err_pct,observed,6,40,40,40,0,116.51506173201449,110.24156731057705,121.87550824533568,112.64810422639911,119.54899110768423
S4c_out_of_domain,F,param_err_pct,observed,7,40,40,40,0,117.86825925926348,108.69187842210674,124.34288068055048,111.16791993180897,120.90857185444912
S4c_out_of_domain,F,param_err_pct,observed,8,40,40,40,0,116.85397619151644,106.15518577606974,124.88846596003347,111.86225783246402,121.80226560515786
S4c_out_of_domain,F,blind_rmse_M,observed,1,40,40,40,0,0.18471591761094777,0.17759836278638216,0.18941386465848942,0.18164672636316997,0.18704569349499964
S4c_out_of_domain,F,blind_rmse_M,observed,2,40,40,40,0,0.11302813557641378,0.04665801633226403,0.11553931592620392,0.05248934198682273,0.1144103764692646
S4c_out_of_domain,F,blind_rmse_M,observed,3,40,40,40,0,0.02779793260034489,0.025510490944379245,0.06304834314734989,0.026838468508611185,0.04502697058837617
S4c_out_of_domain,F,blind_rmse_M,observed,4,40,40,40,0,0.027765507263447824,0.02621552179341845,0.030315920568218878,0.0265323054844988,0.029290553787306328
S4c_out_of_domain,F,blind_rmse_M,observed,5,40,40,40,0,0.026319266967081083,0.025066189597810103,0.029665708728706337,0.0255018620180229,0.02800658549520921
S4c_out_of_domain,F,blind_rmse_M,observed,6,40,40,40,0,0.027020225526177794,0.02495981752392313,0.030251131575042167,0.025462896305538482,0.028189064570381478
S4c_out_of_domain,F,blind_rmse_M,observed,7,40,40,40,0,0.02717811751185818,0.02488592750746353,0.02956510609700008,0.02540938159462233,0.02799282789519181
S4c_out_of_domain,F,blind_rmse_M,observed,8,40,40,40,0,0.0263953649301222,0.024712966857369116,0.029860382756046463,0.025068040504213275,0.02803534498293299
S4c_out_of_domain,F,max_rel_ci_pct,observed,1,40,40,40,0,761.3063700107791,761.3063688635624,1688.339561251975,761.3063698450543,1060.990285700803
S4c_out_of_domain,F,max_rel_ci_pct,observed,2,40,40,40,0,761.2836692700669,585.7574176199278,1101.590686591721,761.0697005744134,964.2666081379061
S4c_out_of_domain,F,max_rel_ci_pct,observed,3,40,40,40,0,112.89287766855605,75.66784792922896,154.87562918863898,90.5931308764329,131.1065960112182
S4c_out_of_domain,F,max_rel_ci_pct,observed,4,40,40,40,0,47.27303075346741,41.11086469348321,177.68778305714824,43.18673795248016,79.74174277404562
S4c_out_of_domain,F,max_rel_ci_pct,observed,5,40,40,40,0,28.793107934739858,23.298914026629475,37.77753003957292,25.909269070540297,31.802567559311655
S4c_out_of_domain,F,max_rel_ci_pct,observed,6,40,40,40,0,21.210459923928305,18.20480498374141,27.315208919762213,19.679403339362835,25.111730623751228
S4c_out_of_domain,F,max_rel_ci_pct,observed,7,40,40,40,0,18.84177559905451,16.395625518343792,23.137781208796852,16.92577027571356,20.80045169460454
S4c_out_of_domain,F,max_rel_ci_pct,observed,8,40,40,40,0,16.303200054803135,13.931520072735825,19.778700839485964,14.342041663491734,18.57182412131808
S4c_out_of_domain,F,p_correct,observed,1,40,40,40,0,0.4996658264247915,0.49674981422854636,0.5010077167784646,0.4977510117507644,0.5005171156605803
S4c_out_of_domain,F,p_correct,observed,2,40,40,40,0,0.5393494527083835,0.5115353126199274,1.0,0.5138540692053655,0.990079046853175
S4c_out_of_domain,F,p_correct,observed,3,40,40,40,0,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,4,40,40,40,0,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,5,40,40,40,0,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,6,40,40,40,0,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,7,40,40,40,0,1.0,1.0,1.0,1.0,1.0
S4c_out_of_domain,F,p_correct,observed,8,40,40,40,0,1.0,1.0,1.0,1.0,1.0
